work_id,mp_id,state,district,ia_id,category,scale,unit,latitude,longitude,recommended_date,recommended_amount,sanction_date,sanctioned_amount,expected_duration_days,status,completion_date,work_description
W00001,MP022,Uttar Pradesh,Varanasi,IA057,Health Sub-Centre Upgrade,1.0,unit,26.40327,84.50135,2023-08-03,1431642.73,2023-09-14,1356149.56,210,Completed,2024-02-03,Health Sub-Centre Upgrade at Varanasi constituency site 0
W00002,MP022,Uttar Pradesh,Meerut,IA018,Public Toilet Complex,1.13,unit,27.77216,83.28419,2024-04-26,486029.45,2024-05-13,511235.39,120,Completed,2024-09-23,Public Toilet Complex at Meerut constituency site 1
W00003,MP026,Maharashtra,Nagpur,IA001,School Building Renovation,1.02,unit,24.68534,85.21841,2023-08-05,1184873.01,2023-08-24,1165133.24,200,Completed,2024-03-18,School Building Renovation at Nagpur constituency site 2
W00004,MP023,Tamil Nadu,Coimbatore,IA015,Public Toilet Complex,1.09,unit,29.53538,86.15468,2025-10-18,484773.71,2025-11-08,507655.34,120,Completed,2026-02-02,Public Toilet Complex at Coimbatore constituency site 3
W00005,MP014,Maharashtra,Nashik,IA048,Street Lighting (per 50 units),3.53,batch,17.00554,79.24894,2023-07-18,2233495.47,2023-08-08,2201901.02,90,Completed,2023-10-30,Street Lighting (per 50 units) at Nashik constituency site 4
W00006,MP015,West Bengal,Malda,IA014,Health Sub-Centre Upgrade,1.0,unit,17.20623,82.92216,2025-08-06,1107201.58,2025-09-04,3398606.61,210,Completed,2026-04-19,Health Sub-Centre Upgrade at Malda constituency site 5
W00007,MP026,Maharashtra,Nagpur,IA034,Health Sub-Centre Upgrade,1.0,unit,24.79266,85.2891,2024-05-06,1588225.73,2024-05-25,1572289.97,210,Completed,2025-03-21,Health Sub-Centre Upgrade at Nagpur constituency site 6
W00008,MP037,Bihar,Muzaffarpur,IA032,Health Sub-Centre Upgrade,1.0,unit,27.35095,82.17707,2024-11-26,1758973.73,2025-01-01,1762485.3,210,Completed,2025-05-29,Health Sub-Centre Upgrade at Muzaffarpur constituency site 7
W00009,MP022,Uttar Pradesh,Meerut,IA040,Public Toilet Complex,2.23,unit,27.77022,83.29556,2025-02-09,1093919.64,2025-03-27,1117901.91,120,Completed,2025-07-09,Public Toilet Complex at Meerut constituency site 8
W00010,MP004,Bihar,Muzaffarpur,IA032,Drainage / Sewage Line (per km),2.85,km,27.44935,82.00799,2025-08-18,4005696.07,2025-10-03,3925044.55,180,Completed,2026-05-22,Drainage / Sewage Line (per km) at Muzaffarpur constituency site 9
W00011,MP016,West Bengal,Howrah,IA022,Street Lighting (per 50 units),3.29,batch,22.13017,72.58682,2024-10-24,2072042.33,2024-11-28,1943788.82,90,Completed,2025-01-21,Street Lighting (per 50 units) at Howrah constituency site 10
W00012,MP013,Uttar Pradesh,Gorakhpur,IA054,Street Lighting (per 50 units),3.32,batch,16.34386,87.56926,2025-06-08,2186522.07,2025-07-04,2201797.86,90,Completed,2025-09-28,Street Lighting (per 50 units) at Gorakhpur constituency site 11
W00013,MP004,Bihar,Muzaffarpur,IA032,Road Construction (per km),2.47,km,27.54534,82.19069,2026-01-20,4379305.18,2026-02-05,4281613.19,270,In Progress,,Road Construction (per km) at Muzaffarpur constituency site 12
W00014,MP006,Bihar,Muzaffarpur,IA032,Street Lighting (per 50 units),3.15,batch,27.45562,81.99318,2026-03-16,2080924.79,2026-04-16,2226234.92,90,Completed,2026-08-20,Street Lighting (per 50 units) at Muzaffarpur constituency site 13
W00015,MP025,Bihar,Patna,IA023,Road Construction (per km),4.21,km,21.59178,75.76133,2024-08-10,6439802.09,2024-10-07,6286379.67,270,Completed,2025-07-22,Road Construction (per km) at Patna constituency site 14
W00016,MP038,Tamil Nadu,Madurai,IA044,Drainage / Sewage Line (per km),1.07,km,26.49041,77.5311,2023-05-18,1580579.19,2023-06-02,1587134.23,180,Completed,2023-10-28,Drainage / Sewage Line (per km) at Madurai constituency site 15
W00017,MP040,Bihar,Gaya,IA011,Public Toilet Complex,2.82,unit,23.1843,73.05288,2023-11-04,1348363.35,2023-12-29,1343608.66,120,Completed,2024-03-19,Public Toilet Complex at Gaya constituency site 16
W00018,MP011,Bihar,Muzaffarpur,IA032,Public Toilet Complex,2.6,unit,27.51589,81.96865,2023-08-10,1130002.28,2023-09-27,1166926.82,120,Completed,2024-01-01,Public Toilet Complex at Muzaffarpur constituency site 17
W00019,MP025,Bihar,Patna,IA023,Health Sub-Centre Upgrade,1.0,unit,21.55911,75.56703,2024-08-04,1439219.54,2024-08-21,1375295.03,210,In Progress,,Health Sub-Centre Upgrade at Patna constituency site 18
